Species Name,Year Described,Group,,,,DATA mostly from here: http://www.curioustaxonomy.net/ with some checking up on years of publication for description. Attenborough section is incomplete and there are more delights on that website
"Thestral Faúndex & Rider, 2014",2014,Harry Potter,,,,"Charles Darwin is probably the most eponymized person in biology, with more than 220 species and at least 24 genera named after him"
Dracorex hogwartsia Bakker et al. 2006,2006,Harry Potter,,,,"There are over 300 taxa from nine phyla named after him (Mili?i? et al. 2011). These include over 250 species, many genera (e.g., ostracod Darwinula or hemipteran Darwinysius) but also some higher ranks like the ostracod Infraorder Darwinulocopina (Sohn 1988)."
"Ampulex dementor Ohl, 2014",2014,Harry Potter,,,,
"Aname aragog Harvey et al., 2012",2012,Harry Potter,,,,
Macrocarpaea apparata,2003,Harry Potter,,,,
"Aleiodes adorabelleae, , , , , , , , , , , , , ,  Butcher et al. 2012",2012,Terry Pratchett,,,,
A. anguaae,2012,Terry Pratchett,,,,
A. atuin,2012,Terry Pratchett,,,,
A. binkyi,2012,Terry Pratchett,,,,
A. deathi,2012,Terry Pratchett,,,,
A. lipwigi,2012,Terry Pratchett,,,,
A. magratae,2012,Terry Pratchett,,,,
A. morti,2012,Terry Pratchett,,,,
A. ponderi,2012,Terry Pratchett,,,,
A. pteppicymoni,2012,Terry Pratchett,,,,
A. ridcullyi,2012,Terry Pratchett,,,,
A. rincewindi,2012,Terry Pratchett,,,,
A. stibbonsi,2012,Terry Pratchett,,,,
A. tmaliaae,2012,Terry Pratchett,,,,
A. vetinarii,2012,Terry Pratchett,,,,
"Czekanowskia anguae Watson et al., 2001",2001,Terry Pratchett,,,,
"Ginkgoites weatherwaxiae Watson et al., 2001",2001,Terry Pratchett,,,,
"Ginkgoites nannyoggiae Watson et al., 2001",2001,Terry Pratchett,,,,
"Ginkgoites garlickianus Watson et al., 2001",2001,Terry Pratchett,,,,
"Phoenicopsis rincewindii Watson et al., 2001",2001,Terry Pratchett,,,,
"Pseudotorellia vimesiana Watson et al., 2001",2001,Terry Pratchett,,,,
"Sciadopityoides greeboana Watson et al., 2001",2001,Terry Pratchett,,,,
"Sulcatocladus dibbleri Watson et al., 2001",2001,Terry Pratchett,,,,
"Torreyites detriti Watson et al., 2001",2001,Terry Pratchett,,,,
"Psephophorus terrypratchetti Köhler, 1995",1995,Terry Pratchett,,,,
Bathytanais greebo,2005,Terry Pratchett,,,,
Tanaella dongo,2005,Terry Pratchett,,,,
Apseudes atuini,2005,Terry Pratchett,,,,
Tritonia khaleesi Silva et al. 2013,2013,George Martin,,,,
"Laelius arryni, , , , , , and  Azevedo & Barbosa, 2014",2014,George Martin,,,,
L. lannisteri,2014,George Martin,,,,
L. martelli,2014,George Martin,,,,
L. targaryeni,2014,George Martin,,,,
L. tullyi,2014,George Martin,,,,
L. starki,2014,George Martin,,,,
L. baratheoni,2014,George Martin,,,,
Aptostichus sarlacc Bond 2012,2012,Star Wars,,,,
"Darthvaderum Hunt, 1996",1996,Star Wars,,,,
"Agathidium vaderi Miller and Wheeler, 2004",2004,Star Wars,,,,
"Polemistus vaderi Menke, 1983",1983,Star Wars,,,,
Han solo Turvey 2005,2005,Star Wars,,,,
"Polemistus chewbacca Menke, 1983",1983,Star Wars,,,,
"Tetramorium jedi Hita Garcia & Fisher, 2012",2012,Star Wars,,,,
"Yoda Priede et al., 2012",2012,Star Wars,,,,
"Albunione yoda Markham & Boyko, 2003",2003,Star Wars,,,,
"Polemistus yoda Vincent, 1983",1983,Star Wars,,,,
Xenokeryx amidala,2015,Star Wars,,,,
Begonia darthvaderiana,2014,Star Wars,,,,
B. amidalae,2014,Star Wars,,,,
"Agra dax Erwin, 2000",2000,Star Trek,,,,
"Annuntidiogenes worfi Fraaije et al., 2009",2009,Star Trek,,,,
"Ladella spocki Viegas, Benaim & Absãlo, 2014",2014,Star Trek,,,,
"Aletodon mellon (Van Valen, 1978)",1978,Tolkien/LOTR,,,,
"Ancalagon Conway Morris, 1977",1977,Tolkien/LOTR,,,,
"Ankalagon Van Valen, 1980",1980,Tolkien/LOTR,,,,
"Anisonchus eowynae Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Balinia Hedqvist, 1978",1978,Tolkien/LOTR,,,,
"Balrogia Hedqvist, 1977",1977,Tolkien/LOTR,,,,
Anthracosuchus balrogus Hastings et al. 2014,2014,Tolkien/LOTR,,,,
"Beorn Cooper, 1964",1964,Tolkien/LOTR,,,,
"Beornia Hedqvist, 1975",1975,Tolkien/LOTR,,,,
"Bofuria Hedqvist, 1978",1978,Tolkien/LOTR,,,,
"Bomburia Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Borophagus orc Webb, 1969",1969,Tolkien/LOTR,,,,
"Bubogonia bombadili and Protoselene bombadili (Van Valen, 1978)",1978,Tolkien/LOTR,,,,
Protoselene bombadili,1978,Tolkien/LOTR,,,,
"Claenodon mumak (Van Valen, 1978)",1978,Tolkien/LOTR,,,,
"Durinia Hedqvist, 1978",1978,Tolkien/LOTR,,,,
"Deltatherium durini Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Dvalinia Hedqvist, 1977",1977,Tolkien/LOTR,,,,
"Earendil Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Elachista amrodella, , , , , , , , , , ,  (Kaila 1999)",1999,Tolkien/LOTR,,,,
E. aredhella,1999,Tolkien/LOTR,,,,
E. caranthirella,1999,Tolkien/LOTR,,,,
E. curufinella,1999,Tolkien/LOTR,,,,
E. daeronella,1999,Tolkien/LOTR,,,,
E. diorella,1999,Tolkien/LOTR,,,,
E. finarfinella,1999,Tolkien/LOTR,,,,
E. gildorella,1999,Tolkien/LOTR,,,,
E. indisella,1999,Tolkien/LOTR,,,,
E. maglorella,1999,Tolkien/LOTR,,,,
E. miriella,1999,Tolkien/LOTR,,,,
